Data,Temp M1,Temp Random
2016/04/18 07:15:03,20.56,17
2016/04/18 07:20:04,20.56,22
2016/04/18 07:25:05,20.50,21
2016/04/18 07:30:06,20.56,22
2016/04/18 07:35:07,20.50,17
2016/04/18 07:40:08,20.50,17
2016/04/18 07:45:09,20.56,21
2016/04/18 07:50:10,20.56,17
2016/04/18 07:55:11,20.56,19
2016/04/18 08:00:12,20.56,17
2016/04/18 08:05:13,20.50,20
2016/04/18 08:10:14,20.50,17
2016/04/18 08:15:15,20.50,22
2016/04/18 08:20:16,20.50,20
2016/04/18 08:25:17,20.50,18
2016/04/18 08:30:18,20.56,19
2016/04/18 08:35:19,20.50,20
2016/04/18 08:40:20,20.50,17
2016/04/18 08:45:21,20.50,19
2016/04/18 08:50:22,20.50,19
2016/04/18 08:55:23,20.50,18
2016/04/18 09:00:24,20.50,19
2016/04/18 09:05:25,20.56,20
2016/04/18 09:10:26,20.50,22
2016/04/18 09:15:27,20.50,19
2016/04/18 09:20:28,20.50,19
2016/04/18 09:25:29,20.50,19
2016/04/18 09:30:30,20.50,20
2016/04/18 09:35:31,20.50,22
2016/04/18 09:40:32,20.50,20
2016/04/18 09:45:33,20.50,20
2016/04/18 09:50:34,20.50,17
2016/04/18 09:55:35,20.50,18
2016/04/18 10:00:36,20.50,19
2016/04/18 10:05:37,20.50,20
2016/04/18 10:10:38,20.50,22
2016/04/18 10:15:39,20.50,17
2016/04/18 10:20:40,20.50,22
2016/04/18 10:25:41,20.50,20
2016/04/18 10:30:42,20.50,18
2016/04/18 10:35:43,20.50,20
2016/04/18 10:40:44,20.50,18
2016/04/18 10:45:45,20.50,22
2016/04/18 10:50:46,20.50,20
2016/04/18 10:55:47,20.50,19
2016/04/18 11:00:48,20.50,22
2016/04/18 11:05:49,20.50,19
2016/04/18 11:10:50,20.50,19
2016/04/18 11:15:51,20.50,22
2016/04/18 11:20:52,20.50,22
2016/04/18 11:25:53,20.50,19
2016/04/18 11:30:54,20.50,22
2016/04/18 11:35:55,20.50,18
2016/04/18 11:40:56,20.50,17
2016/04/18 11:45:57,20.50,22
2016/04/18 11:50:58,20.50,20
2016/04/18 11:55:59,20.50,22
2016/04/18 12:01:00,20.50,18
2016/04/18 12:06:01,20.50,17
2016/04/18 12:11:02,20.50,17
2016/04/18 12:16:03,20.50,20
2016/04/18 12:21:04,20.50,19
2016/04/18 12:26:05,20.50,20
2016/04/18 12:31:06,20.50,21
2016/04/18 12:36:07,20.50,21
2016/04/18 12:41:08,20.50,19
2016/04/18 12:46:09,20.50,20
2016/04/18 12:51:10,20.50,18
2016/04/18 12:56:11,20.50,22
2016/04/18 13:01:12,20.50,21
2016/04/18 13:06:13,20.50,17
2016/04/18 13:11:14,20.44,17
2016/04/18 13:16:15,20.50,18
2016/04/18 13:21:16,20.50,18
2016/04/18 13:26:17,20.50,17
2016/04/18 13:31:18,20.44,19
2016/04/18 13:36:19,20.50,22
2016/04/18 13:41:20,20.50,22
2016/04/18 13:46:21,20.50,19
2016/04/18 13:51:22,20.50,18
2016/04/18 13:56:23,20.50,21
2016/04/18 14:01:24,20.50,19
2016/04/18 14:06:25,20.44,17
2016/04/18 14:11:26,20.50,17
2016/04/18 14:16:27,20.50,22
2016/04/18 14:21:28,20.50,19
2016/04/18 14:26:29,20.44,17
2016/04/18 14:31:30,20.44,20
2016/04/18 14:36:31,20.44,17
2016/04/18 14:41:32,20.44,22
2016/04/18 14:46:33,20.44,19
2016/04/18 14:51:34,20.44,17
2016/04/18 14:56:35,20.44,18
2016/04/18 15:01:36,20.44,17
2016/04/18 15:06:37,20.44,18
2016/04/18 15:11:38,20.44,20
2016/04/18 15:16:39,20.44,17
2016/04/18 15:21:40,20.44,20
2016/04/18 15:26:41,20.44,21
2016/04/18 15:31:42,20.44,18
2016/04/18 15:36:43,20.44,19
2016/04/18 15:41:44,20.44,21
2016/04/18 15:46:45,20.44,20
2016/04/18 15:51:46,20.38,22
2016/04/18 15:56:47,20.44,20
2016/04/18 16:01:48,20.44,22
2016/04/18 16:06:49,20.44,22
2016/04/18 16:11:50,20.44,21
2016/04/18 16:16:51,20.44,22
2016/04/18 16:21:52,20.44,21
2016/04/18 16:26:53,20.44,19
2016/04/18 16:31:54,20.44,20
2016/04/18 16:36:55,20.44,17
2016/04/18 16:41:56,20.44,18
2016/04/18 16:46:57,20.44,21
2016/04/18 16:51:58,20.44,18
2016/04/18 16:56:59,20.44,17
2016/04/18 17:02:00,20.44,20
2016/04/18 17:07:01,20.44,22
2016/04/18 17:12:02,20.44,18
2016/04/18 17:17:03,20.44,19
2016/04/18 17:22:04,20.44,22
2016/04/18 17:27:05,20.44,19
2016/04/18 17:32:06,20.44,18
2016/04/18 17:37:07,20.44,18
2016/04/18 17:42:08,20.44,17
2016/04/18 17:47:09,20.44,22
2016/04/18 17:52:10,20.44,21
2016/04/18 17:57:11,20.44,18
2016/04/18 18:02:12,20.44,18
2016/04/18 18:07:13,20.44,18
2016/04/18 18:12:14,20.44,22
2016/04/18 18:17:15,20.44,18
2016/04/18 18:22:16,20.44,22
2016/04/18 18:27:17,20.44,21
2016/04/18 18:32:18,20.44,19
2016/04/18 18:37:19,20.44,20
2016/04/18 18:42:20,20.44,19
2016/04/18 18:47:21,20.44,21
2016/04/18 18:52:22,20.44,18
2016/04/18 18:57:23,20.44,17
2016/04/18 19:02:24,20.44,18
2016/04/18 19:07:25,20.44,17
2016/04/18 19:12:26,20.44,19
2016/04/18 19:17:27,20.44,21
2016/04/18 19:22:28,20.44,17
2016/04/18 19:27:29,20.44,22
2016/04/18 19:32:30,20.44,21
2016/04/18 19:37:31,20.44,17
2016/04/18 19:42:32,20.44,18
2016/04/18 19:47:33,20.44,21
2016/04/18 19:52:34,20.50,19
2016/04/18 19:57:35,20.50,22
2016/04/18 20:02:36,20.63,22
2016/04/18 20:07:37,20.63,17
2016/04/18 20:12:38,20.63,22
2016/04/18 20:17:39,20.69,18
2016/04/18 20:22:40,20.69,17
2016/04/18 20:27:41,20.69,19
2016/04/18 20:32:42,20.69,21
2016/04/18 20:37:43,20.75,22
2016/04/18 20:42:44,20.75,22
2016/04/18 20:47:45,20.69,21
2016/04/18 20:52:46,20.63,19
2016/04/18 20:57:47,20.63,21
2016/04/18 21:02:48,20.63,20
2016/04/18 21:07:49,20.63,21
2016/04/18 21:12:50,20.63,18
2016/04/18 21:17:51,20.63,17
2016/04/18 21:22:52,20.63,19
2016/04/18 21:27:53,20.56,19
2016/04/18 21:32:54,20.63,17
2016/04/18 21:37:55,20.63,20
2016/04/18 21:42:56,20.56,21
2016/04/18 21:47:57,20.63,18
2016/04/18 21:52:58,20.56,18
2016/04/18 21:57:59,20.56,20
2016/04/18 22:03:00,20.56,21
2016/04/18 22:08:01,20.56,18
2016/04/18 22:13:02,20.56,17
2016/04/18 22:18:03,20.56,19
2016/04/18 22:23:04,20.56,22
2016/04/18 22:28:05,20.56,18
2016/04/18 22:33:06,20.56,18
2016/04/18 22:38:07,20.56,17
2016/04/18 22:43:08,20.56,22
2016/04/18 22:48:09,20.56,20
2016/04/18 22:53:10,20.56,20
2016/04/18 22:58:11,20.56,21
2016/04/18 23:03:12,20.56,17
2016/04/18 23:08:13,20.56,17
2016/04/18 23:13:14,20.56,18
2016/04/18 23:18:15,20.56,22
2016/04/18 23:23:16,20.56,17
2016/04/18 23:28:17,20.56,22
2016/04/18 23:33:18,20.56,17
2016/04/18 23:38:19,20.56,18
2016/04/18 23:43:20,20.56,19
2016/04/18 23:48:21,20.56,17
2016/04/18 23:53:22,20.56,21
2016/04/18 23:58:23,20.50,21
2016/04/19 00:03:24,20.50,20
2016/04/19 00:08:25,20.63,20
2016/04/19 00:13:26,20.56,18
2016/04/19 00:18:27,20.56,20
2016/04/19 00:23:28,20.56,22
2016/04/19 00:28:29,20.56,18
2016/04/19 00:33:30,20.56,18
2016/04/19 00:38:31,20.56,19
2016/04/19 00:43:32,20.50,18
2016/04/19 00:48:33,20.50,18
2016/04/19 00:53:34,20.50,19
2016/04/19 00:58:35,20.50,17
2016/04/19 01:03:36,20.50,17
2016/04/19 01:08:37,20.56,21
2016/04/19 01:13:38,20.50,21
2016/04/19 01:18:39,20.50,17
2016/04/19 01:23:40,20.50,22
2016/04/19 01:28:41,20.50,21
2016/04/19 01:33:42,20.50,20
2016/04/19 01:38:43,20.50,20
2016/04/19 01:43:44,20.50,18
2016/04/19 01:48:45,20.50,22
2016/04/19 01:53:46,20.50,19
2016/04/19 01:58:47,20.50,22
2016/04/19 02:03:48,20.50,19
2016/04/19 02:08:49,20.50,22
2016/04/19 02:13:50,20.50,22
2016/04/19 02:18:51,20.50,17
2016/04/19 02:23:52,20.50,19
2016/04/19 02:28:53,20.50,17
2016/04/19 02:33:54,20.50,19
2016/04/19 02:38:55,20.50,20
2016/04/19 02:43:56,20.50,21
2016/04/19 02:48:57,20.50,21
2016/04/19 02:53:58,20.44,17
